"Demographic data (total population, age groups and race/ethnicity) by census tract were extracted from the 2018 American Community Survey.",,,,,,,,,,,,,,,
Census Tract , DRAFT CES 4.0 Score,DRAFT CES 4.0 Percentile,"DRAFT CES 4.0 
Percentile Range",2018 Total Population,"California 
County",Children < 10 years (%) ,Pop 10-64 years (%),Elderly > 65 years (%),Hispanic (%),White (%),African American (%),Native American (%),Asian American (%),Pacific Islander (%),Other/Multiple (%)
6067005301,66.12,98.41,95-100% (highest scores),1462,Sacramento ,23.5,73.1,3.4,26.7,27.6,41.2,0.0,2.4,0.0,2.1
6037402801,66.02,98.40,95-100% (highest scores),4921,Los Angeles,21.3,74.5,4.1,95.4,0.8,0.5,0.0,3.3,0.0,0.0
6037292000,66.00,98.39,95-100% (highest scores),6314,Los Angeles,14.6,76.4,9.0,54.9,9.0,11.9,0.0,15.8,0.2,8.3
6037542106,65.95,98.37,95-100% (highest scores),3543,Los Angeles,15.1,77.6,7.3,83.4,1.0,11.2,0.0,2.1,0.0,2.3
6029006201,65.86,98.36,95-100% (highest scores),2842,Kern ,17.2,72.3,10.5,73.6,23.4,0.0,0.0,1.2,0.0,1.8
6037533703,65.84,98.35,95-100% (highest scores),4753,Los Angeles,18.0,76.0,6.0,99.8,0.2,0.0,0.0,0.0,0.0,0.0
6037204420,65.84,98.34,95-100% (highest scores),3094,Los Angeles,16.6,78.0,5.4,90.1,1.8,4.2,0.0,3.3,0.0,0.5
6019008502,65.78,98.32,95-100% (highest scores),9146,Fresno ,20.0,73.8,6.3,98.0,1.9,0.0,0.0,0.1,0.0,0.0
6037302302,65.76,98.31,95-100% (highest scores),5782,Los Angeles,10.5,74.4,15.1,47.3,36.8,1.0,0.0,13.6,0.0,1.4
6037239601,65.62,98.30,95-100% (highest scores),3629,Los Angeles,19.5,74.6,5.8,79.3,0.6,18.3,0.2,0.2,0.0,1.4
6037219901,65.62,98.28,95-100% (highest scores),4165,Los Angeles,13.7,79.0,7.3,75.2,5.9,17.3,0.0,0.4,0.0,1.2
6037530500,65.58,98.27,95-100% (highest scores),3738,Los Angeles,11.7,74.6,13.7,90.6,3.2,0.1,0.0,6.2,0.0,0.0
6037570202,65.50,98.26,95-100% (highest scores),5982,Los Angeles,15.8,74.8,9.4,63.8,8.0,15.1,0.5,10.3,1.7,0.6
6037533902,65.49,98.25,95-100% (highest scores),4204,Los Angeles,15.4,79.0,5.6,98.4,1.4,0.0,0.0,0.0,0.2,0.0
6037502500,65.47,98.23,95-100% (highest scores),4031,Los Angeles,10.1,73.6,16.3,93.4,5.5,0.4,0.0,0.2,0.5,0.0
6019008501,65.47,98.22,95-100% (highest scores),4133,Fresno ,23.3,67.3,9.3,98.5,1.2,0.0,0.0,0.4,0.0,0.0
6037240900,65.46,98.21,95-100% (highest scores),6355,Los Angeles,18.6,74.4,7.1,74.9,0.4,24.4,0.0,0.3,0.0,0.0
6019001800,65.45,98.20,95-100% (highest scores),4799,Fresno ,13.5,73.6,12.9,70.8,21.8,0.7,0.1,4.9,0.0,1.7
6019002502,65.39,98.18,95-100% (highest scores),4221,Fresno ,19.2,72.9,7.9,62.0,7.5,0.5,0.6,28.9,0.2,0.3
6037601401,65.35,98.17,95-100% (highest scores),5688,Los Angeles,12.1,77.3,10.6,50.9,6.2,34.7,0.3,2.9,0.0,5.1
6037228100,65.33,98.16,95-100% (highest scores),5476,Los Angeles,19.7,73.6,6.7,92.1,0.0,7.9,0.0,0.0,0.0,0.0
6037404703,65.31,98.15,95-100% (highest scores),3154,Los Angeles,16.4,75.4,8.2,80.7,3.2,1.8,0.0,13.6,0.0,0.7
6037600502,65.29,98.13,95-100% (highest scores),2407,Los Angeles,8.7,73.1,18.2,45.0,4.7,45.7,0.0,3.6,0.0,1.1
6037294120,65.15,98.12,95-100% (highest scores),2545,Los Angeles,20.1,72.4,7.5,87.1,2.8,5.0,0.0,2.1,0.0,3.1
6037228800,65.12,98.11,95-100% (highest scores),5901,Los Angeles,21.1,73.1,5.7,92.2,0.0,7.6,0.0,0.0,0.1,0.1
6037206010,65.06,98.10,95-100% (highest scores),3943,Los Angeles,10.0,73.1,16.9,51.8,8.8,0.2,0.0,38.2,0.0,1.0
6037239310,65.05,98.08,95-100% (highest scores),4026,Los Angeles,18.9,76.5,4.6,89.6,2.4,7.8,0.0,0.0,0.0,0.1
6037533001,65.04,98.07,95-100% (highest scores),4270,Los Angeles,14.4,78.2,7.4,92.5,1.3,6.2,0.0,0.0,0.0,0.0
6037575401,64.93,98.06,95-100% (highest scores),4853,Los Angeles,20.1,76.0,3.9,81.9,6.2,7.8,0.4,2.7,0.0,0.9
6037204910,64.81,98.05,95-100% (highest scores),3263,Los Angeles,13.3,75.6,11.2,97.1,1.7,0.7,0.0,0.3,0.0,0.2
6071004004,64.76,98.03,95-100% (highest scores),5746,San Bernardino,14.0,75.8,10.3,79.4,15.8,3.6,0.2,0.4,0.0,0.5
6099003802,64.74,98.02,95-100% (highest scores),5513,Stanislaus ,9.7,80.8,9.5,73.8,22.1,2.2,0.3,1.6,0.0,0.0
6037533002,64.74,98.01,95-100% (highest scores),2647,Los Angeles,21.1,72.3,6.6,95.4,0.9,0.0,0.0,0.0,0.0,3.7
6037536000,64.64,97.99,95-100% (highest scores),3697,Los Angeles,16.5,75.0,8.5,97.4,1.1,0.4,0.7,0.4,0.0,0.0
6037204820,64.63,97.98,95-100% (highest scores),2146,Los Angeles,10.0,76.9,13.0,95.6,2.3,2.0,0.0,0.0,0.0,0.0
